country,Cellphones,GDPPC,Internet,Year
Cyprus,133,295000,75.9,2016
Cyprus,136,308000,80.7,2017
Cyprus,139,32000,84.4,2018
Cyprus,144,325000,86.1,2019
Czech Republic,0,141000,0,1990
Czech Republic,0.012,125000,0,1991
Czech Republic,0.0449,124000,0,1992
Czech Republic,0.136,124000,0.581,1993
Czech Republic,0.294,127000,1.26,1994
Czech Republic,0.472,136000,1.45,1995
Czech Republic,1.94,142000,1.94,1996
Czech Republic,5.09,141000,2.92,1997
Czech Republic,9.35,141000,3.9,1998
Czech Republic,18.9,143000,6.83,1999
Czech Republic,42.2,149000,9.78,2000
Czech Republic,67.6,154000,14.7,2001
Czech Republic,84,157000,23.9,2002
Czech Republic,94.8,162000,34.3,2003
Czech Republic,105,17000,35.5,2004
Czech Republic,115,181000,35.3,2005
Czech Republic,120,193000,47.9,2006
Czech Republic,128,202000,51.9,2007
Czech Republic,132,206000,63,2008
Czech Republic,125,195000,64.4,2009
Czech Republic,123,20000,68.8,2010
Czech Republic,125,203000,70.5,2011
Czech Republic,128,201000,73.4,2012
Czech Republic,130,201000,74.1,2013
Czech Republic,131,205000,74.2,2014
Czech Republic,117,216000,75.7,2015
Czech Republic,118,221000,76.5,2016
Czech Republic,119,231000,78.7,2017
Czech Republic,119,238000,80.7,2018
Czech Republic,123,243000,80.9,2019
Denmark,2.88,446000,0.0973,1990
Denmark,3.41,451000,0.194,1991
Denmark,4.08,458000,0.387,1992
Denmark,6.89,457000,0.578,1993
Denmark,9.66,479000,1.34,1994
Denmark,15.7,491000,3.83,1995
Denmark,25.1,503000,5.71,1996
Denmark,27.4,517000,11.4,1997
Denmark,36.4,526000,22.7,1998
Denmark,49.4,54000,30.6,1999
Denmark,63,559000,39.2,2000
Denmark,73.9,561000,43,2001
Denmark,83.3,562000,64.3,2002
Denmark,88.5,563000,76.3,2003
Denmark,95.6,576000,80.9,2004
Denmark,101,588000,82.7,2005
Denmark,107,609000,86.7,2006
Denmark,115,612000,85,2007
Denmark,119,605000,85,2008
Denmark,124,572000,86.8,2009
Denmark,116,58000,88.7,2010
Denmark,128,586000,89.8,2011
Denmark,130,585000,92.3,2012
Denmark,125,588000,94.6,2013
Denmark,126,594000,96,2014
Denmark,124,604000,96.3,2015
Denmark,122,619000,97,2016
Denmark,125,632000,97.1,2017
Denmark,125,643000,97.3,2018
Denmark,125,659000,98,2019
Egypt,0.00713,1560,0,1990
Egypt,0.00784,1540,0,1991
Egypt,0.00837,1570,0,1992
Egypt,0.0115,1590,0.00098,1993
Egypt,0.0121,1620,0.00638,1994
Egypt,0.0118,1660,0.0313,1995
Egypt,0.0116,1710,0.0615,1996
Egypt,0.101,1770,0.0905,1997
Egypt,0.137,1830,0.148,1998
Egypt,0.712,1900,0.29,1999
Egypt,1.98,1980,0.641,2000
Egypt,3.98,2010,0.839,2001
Egypt,6.29,2020,2.72,2002
Egypt,7.96,2050,4.04,2003
Egypt,10.3,2090,11.9,2004
Egypt,18,2150,12.8,2005
Egypt,23.4,2260,13.7,2006
Egypt,38.5,2370,16,2007
Egypt,51.8,2500,18,2008
Egypt,68.2,2570,20,2009
Egypt,85.4,2650,21.6,2010
Egypt,98.7,2640,25.6,2011
Egypt,112,2640,26.4,2012
Egypt,113,2630,29.4,2013
Egypt,105,2650,33.9,2014
Egypt,102,2700,37.8,2015
Egypt,104,2760,41.2,2016
Egypt,107,2820,45,2017
Egypt,95.3,2910,46.9,2018
Egypt,95,3010,57.3,2019
Finland,5.16,334000,0.401,1990
Finland,6.36,312000,1.4,1991
Finland,7.65,30000,1.89,1992
Finland,9.64,297000,2.57,1993
Finland,13.3,307000,4.92,1994
Finland,20.3,319000,13.9,1995
Finland,29.2,33000,16.8,1996
Finland,42,349000,19.5,1997
Finland,55.1,368000,25.5,1998
Finland,63.2,383000,32.3,1999
Finland,71.9,404000,37.2,2000
Finland,80.3,414000,43.1,2001
Finland,86.6,42000,62.4,2002
Finland,90.8,427000,69.2,2003
Finland,95.2,443000,72.4,2004
Finland,100,454000,74.5,2005
Finland,107,47000,79.7,2006
Finland,115,493000,80.8,2007
Finland,128,494000,83.7,2008
Finland,144,452000,82.5,2009
Finland,156,465000,86.9,2010
Finland,166,474000,88.7,2011
Finland,172,465000,89.9,2012
Finland,136,459000,91.5,2013
Finland,139,456000,86.5,2014
Finland,135,456000,86.4,2015
Finland,131,468000,87.7,2016
Finland,130,482000,87.5,2017
Finland,129,487000,88.9,2018
Finland,129,493000,89.6,2019
France,0.5,325000,0.0528,1990
France,0.659,327000,0.14,1991
France,0.764,33000,0.279,1992
France,0.997,327000,0.591,1993
France,1.53,333000,0.9,1994
France,2.25,339000,1.64,1995
France,4.25,343000,2.58,1996
France,9.99,35000,4.25,1997
France,19.2,361000,6.32,1998
France,36.5,371000,9.13,1999
France,49.2,383000,14.3,2000
France,62.3,388000,26.3,2001
France,64.5,389000,30.2,2002
France,69.2,39000,36.1,2003
France,73.4,398000,39.1,2004
France,78.7,402000,42.9,2005
France,84,409000,46.9,2006
France,89.5,416000,66.1,2007
France,93.2,415000,70.7,2008
France,92.6,401000,71.6,2009
France,91.9,406000,77.3,2010
France,94.6,413000,77.8,2011
France,97.9,413000,81.4,2012
France,99.1,413000,81.9,2013
France,102,415000,83.8,2014
France,103,418000,78,2015
France,104,421000,79.3,2016
France,106,43000,80.5,2017
France,108,436000,82,2018
France,111,442000,83.3,2019
Georgia,0,3700,0,1990
Georgia,0,2900,0,1991
Georgia,0,1580,0,1992
Georgia,0,1110,0,1993
Georgia,0,1010,0,1994
Georgia,0.00301,1080,0.0118,1995
Georgia,0.0475,1240,0.0401,1996
Georgia,0.637,1420,0.0609,1997
Georgia,1.31,1500,0.103,1998
Georgia,2.99,1570,0.416,1999
Georgia,4.46,1630,0.485,2000
Georgia,7.01,1740,0.992,2001
Georgia,11.8,1850,1.59,2002
Georgia,16.8,2070,2.56,2003
Georgia,19.9,2200,3.89,2004
Georgia,27.9,2430,6.08,2005
Georgia,40.7,2670,7.53,2006
Georgia,62.4,3030,8.26,2007
Georgia,66.5,3110,10,2008
Georgia,68.9,3020,20.1,2009
Georgia,97.1,3230,26.9,2010
Georgia,109,3500,31.5,2011
Georgia,116,3750,36.9,2012
Georgia,123,3900,43.3,2013
Georgia,134,4070,44,2014
Georgia,138,4190,47.6,2015
Georgia,138,4300,58.5,2016
Georgia,137,4510,59.7,2017
Georgia,136,4730,62.7,2018
Georgia,135,4980,68.8,2019
Germany,0.345,324000,0.126,1990
Germany,0.67,338000,0.25,1991
Germany,1.22,342000,0.435,1992
Germany,2.21,337000,0.464,1993
Germany,3.08,344000,0.923,1994
Germany,4.59,348000,1.84,1995
Germany,6.78,35000,3.05,1996
Germany,10.2,355000,6.71,1997
Germany,17.1,363000,9.88,1998
Germany,28.8,369000,20.8,1999
Germany,59.2,379000,30.2,2000
Germany,68.9,385000,31.7,2001
Germany,72.5,384000,48.8,2002
Germany,79.4,381000,55.9,2003
Germany,87.4,385000,64.7,2004
Germany,97.1,388000,68.7,2005
Germany,105,404000,72.2,2006
Germany,118,416000,75.2,2007
Germany,130,421000,78,2008
Germany,130,398000,79,2009
Germany,109,415000,82,2010
Germany,112,44000,81.3,2011
Germany,114,441000,82.3,2012
Germany,123,441000,84.2,2013
Germany,122,449000,86.2,2014
Germany,118,452000,87.6,2015
Germany,126,458000,84.2,2016
Germany,133,469000,84.4,2017
Germany,129,473000,87,2018
Germany,128,475000,88.1,2019
Greece,0,192000,0,1990
Greece,0,196000,0.0488,1991
Greece,0,196000,0.0483,1992
Greece,0.456,191000,0.191,1993
Greece,1.44,194000,0.378,1994
Greece,2.54,197000,0.75,1995
Greece,4.91,202000,1.4,1996
Greece,8.6,21000,1.85,1997
Greece,18.7,217000,3.22,1998
Greece,35.4,223000,6.88,1999
Greece,53.5,231000,9.14,2000
Greece,71.5,239000,10.9,2001
Greece,83.3,248000,14.7,2002
Greece,79.7,261000,17.8,2003
Greece,83,274000,21.4,2004
Greece,91.4,275000,24,2005
Greece,98.2,289000,32.3,2006
Greece,111,298000,35.9,2007
Greece,125,296000,38.2,2008
Greece,121,283000,42.4,2009
Greece,113,267000,44.4,2010
Greece,112,24000,51.6,2011
Greece,124,224000,55.1,2012
Greece,117,22000,59.9,2013
Greece,113,223000,63.2,2014
Greece,118,223000,66.8,2015
Greece,118,223000,69.1,2016
Greece,122,227000,69.9,2017
Greece,116,231000,72.2,2018
Greece,113,235000,75.7,2019
"Hong Kong, China",2.34,183000,0,1990
"Hong Kong, China",3.27,191000,0.121,1991
"Hong Kong, China",3.98,202000,0.85,1992
"Hong Kong, China",4.91,21000,1.33,1993
"Hong Kong, China",8.08,218000,2.78,1994
"Hong Kong, China",13.1,219000,3.22,1995
"Hong Kong, China",22,218000,4.75,1996
"Hong Kong, China",35.4,228000,10.5,1997
"Hong Kong, China",49.5,212000,14.5,1998
"Hong Kong, China",65.5,216000,21.2,1999
"Hong Kong, China",82.5,23000,27.8,2000
"Hong Kong, China",86.7,23000,38.7,2001
"Hong Kong, China",95.4,233000,43.1,2002
"Hong Kong, China",109,24000,52.2,2003
"Hong Kong, China",122,259000,56.4,2004
"Hong Kong, China",126,277000,56.9,2005
"Hong Kong, China",139,294000,60.8,2006
"Hong Kong, China",157,311000,64.8,2007
"Hong Kong, China",168,316000,66.7,2008
"Hong Kong, China",182,307000,69.4,2009
"Hong Kong, China",198,325000,72,2010
"Hong Kong, China",218,339000,72.2,2011
"Hong Kong, China",233,341000,72.9,2012
"Hong Kong, China",239,35000,74.2,2013
"Hong Kong, China",238,357000,79.9,2014
"Hong Kong, China",233,363000,84.9,2015
"Hong Kong, China",243,368000,87.5,2016
"Hong Kong, China",252,379000,89.4,2017
"Hong Kong, China",270,387000,90.5,2018
"Hong Kong, China",289,378000,91.7,2019
Indonesia,0.00998,1710,0,1990
Indonesia,0.0133,1790,0,1991
Indonesia,0.0189,1880,0,1992
Indonesia,0.028,1970,0,1993
Indonesia,0.0402,2080,0.00106,1994
Indonesia,0.107,2220,0.0261,1995
Indonesia,0.281,2360,0.0566,1996
Indonesia,0.452,2430,0.195,1997
Indonesia,0.518,2080,0.255,1998
Indonesia,1.06,2070,0.444,1999
Indonesia,1.73,2140,0.926,2000
Indonesia,3.04,2190,2.02,2001
Indonesia,5.38,2260,2.13,2002
Indonesia,8.4,2340,2.39,2003
Indonesia,13.6,2420,2.6,2004
Indonesia,20.7,2520,3.6,2005
Indonesia,27.8,2630,4.76,2006
Indonesia,40.2,2760,5.79,2007
Indonesia,59.7,2890,7.92,2008
Indonesia,68.6,2980,6.92,2009
Indonesia,87.4,3120,10.9,2010
Indonesia,102,3270,12.3,2011
Indonesia,113,3420,14.5,2012
Indonesia,124,3560,14.9,2013
Indonesia,128,3690,17.1,2014
Indonesia,131,3820,22.1,2015
Indonesia,147,3970,25.4,2016
Indonesia,164,4120,32.3,2017
Indonesia,119,4280,39.9,2018
Indonesia,126,4450,47.7,2019
Kazakhstan,0,5890,0,1990
Kazakhstan,0,5210,0,1991
Kazakhstan,0,4940,0,1992
Kazakhstan,0,4500,0,1993
Kazakhstan,0.0025,3990,0.00052,1994
Kazakhstan,0.029,3740,0.0113,1995
Kazakhstan,0.0627,3810,0.0318,1996
Kazakhstan,0.0727,3940,0.0646,1997
Kazakhstan,0.196,3930,0.131,1998
Kazakhstan,0.33,4080,0.464,1999
Kazakhstan,1.32,4490,0.669,2000
Kazakhstan,3.9,5110,1.01,2001
Kazakhstan,6.86,5610,1.67,2002
Kazakhstan,8.81,6110,2,2003
Kazakhstan,16,6650,2.65,2004
Kazakhstan,35,7230,2.96,2005
Kazakhstan,50,7920,3.27,2006
Kazakhstan,78.5,8520,4.02,2007
Kazakhstan,94,8640,11,2008
Kazakhstan,106,8570,18.2,2009
Kazakhstan,119,9070,31.6,2010
Kazakhstan,153,9600,50.6,2011
Kazakhstan,180,9920,61.9,2012
Kazakhstan,178,104000,63.3,2013
Kazakhstan,165,106000,66,2014
Kazakhstan,150,106000,70.8,2015
Kazakhstan,143,106000,74.6,2016
Kazakhstan,148,109000,76.4,2017
Kazakhstan,142,112000,78.9,2018
Kazakhstan,139,115000,81.9,2019
Malaysia,0.48,4540,0,1990
Malaysia,0.702,4840,0,1991
Malaysia,1.06,5130,0.00105,1992
Malaysia,1.75,5500,0.0255,1993
Malaysia,2.86,5860,0.0996,1994
Malaysia,4.91,6280,0.146,1995
Malaysia,7.23,6730,0.852,1996
Malaysia,9.28,7040,2.31,1997
Malaysia,9.95,6360,6.75,1998
Malaysia,13.2,6590,12.3,1999
Malaysia,22.1,7010,21.4,2000
Malaysia,31.1,6890,26.7,2001
Malaysia,37.4,7110,32.3,2002
Malaysia,45,7370,35,2003
Malaysia,58,7720,42.3,2004
Malaysia,76.1,7970,48.6,2005
Malaysia,74.3,8260,51.6,2006
Malaysia,87.4,8610,55.7,2007
Malaysia,102,8850,55.8,2008
Malaysia,109,8560,55.9,2009
Malaysia,120,9040,56.3,2010
Malaysia,128,9370,61,2011
Malaysia,142,9740,65.8,2012
Malaysia,146,101000,57.1,2013
Malaysia,150,105000,63.7,2014
Malaysia,146,109000,71.1,2015
Malaysia,142,112000,78.8,2016
Malaysia,136,117000,80.1,2017
Malaysia,135,121000,81.2,2018
Malaysia,140,125000,84.2,2019
Malta,0,107000,0,1990
Malta,0.625,11000,0,1991
Malta,0.951,114000,0,1992
Malta,1.43,118000,0,1993
Malta,2.01,124000,0,1994
Malta,2.86,131000,0.225,1995
Malta,3.29,135000,1.05,1996
Malta,4.61,141000,3.92,1997
Malta,5.82,147000,6.5,1998
Malta,9.61,153000,7.76,1999
Malta,29.1,182000,13.1,2000
Malta,60.4,179000,17.9,2001
Malta,69.4,182000,28.9,2002
Malta,72.3,188000,31.6,2003
Malta,76,187000,34.6,2004
Malta,80.1,192000,41.2,2005
Malta,85.3,196000,40.4,2006
Malta,90.4,205000,46.9,2007
Malta,94.2,212000,50.1,2008
Malta,103,208000,58.9,2009
Malta,110,218000,63,2010
Malta,125,218000,68,2011
Malta,126,225000,68.2,2012
Malta,131,234000,68.9,2013
Malta,127,247000,73.2,2014
Malta,121,264000,76,2015
Malta,134,269000,78.1,2016
Malta,138,283000,81,2017
Malta,140,287000,81.7,2018
Malta,144,291000,85.8,2019
Mauritius,0.208,3810,0,1990
Mauritius,0.234,3930,0,1991
Mauritius,0.269,4130,0,1992
Mauritius,0.367,4290,0,1993
Mauritius,0.512,4410,0,1994
Mauritius,1.04,4560,0,1995
Mauritius,1.83,4760,0.184,1996
Mauritius,3.68,4970,0.476,1997
Mauritius,5.19,5220,2.57,1998
Mauritius,8.69,5290,4.65,1999
Mauritius,15.2,5660,7.28,2000
Mauritius,22.8,5810,8.78,2001
Mauritius,28.9,5860,10.3,2002
Mauritius,38.2,6160,12.2,2003
Mauritius,45.1,6390,13.7,2004
Mauritius,53.8,6460,15.2,2005
Mauritius,62.9,6750,16.7,2006
Mauritius,75.3,7100,20.2,2007
Mauritius,83.4,7460,21.8,2008
Mauritius,87.4,7680,22.5,2009
Mauritius,95.4,8000,28.3,2010
Mauritius,103,8310,35,2011
Mauritius,119,8580,35.4,2012
Mauritius,122,8850,40.1,2013
Mauritius,131,9160,44.8,2014
Mauritius,140,9480,50.1,2015
Mauritius,144,9830,52.2,2016
Mauritius,145,102000,55.4,2017
Mauritius,151,106000,58.6,2018
Mauritius,147,109000,64,2019
Mexico,0.0761,7790,0,1990
Mexico,0.188,7970,0.00588,1991
Mexico,0.359,8100,0.0173,1992
Mexico,0.436,8120,0.0283,1993
Mexico,0.631,8370,0.0433,1994
Mexico,0.751,7720,0.103,1995
Mexico,1.1,8110,0.2,1996
Mexico,1.84,8530,0.627,1997
Mexico,3.49,8840,1.27,1998
Mexico,7.93,8950,1.86,1999
Mexico,14.2,9250,5.08,2000
Mexico,21.7,9090,7.04,2001
Mexico,25.5,8960,11.9,2002
Mexico,29.2,8970,12.9,2003
Mexico,36.8,9190,14.1,2004
Mexico,44.5,9270,17.2,2005
Mexico,51.5,9550,19.5,2006
Mexico,61,9620,20.8,2007
Mexico,68,9590,21.7,2008
Mexico,74,8950,26.3,2009
Mexico,80.1,9270,31.1,2010
Mexico,81.8,9480,37.2,2011
Mexico,85.9,9690,39.8,2012
Mexico,89.8,9690,43.5,2013
Mexico,87.2,9840,44.4,2014
Mexico,88.4,10000,57.4,2015
Mexico,90.6,102000,59.5,2016
Mexico,91.6,103000,63.9,2017
Mexico,95.2,104000,65.8,2018
Mexico,95.7,103000,70.1,2019
Morocco,0.00364,1730,0,1990
Morocco,0.00594,1820,0,1991
Morocco,0.0125,1750,0,1992
Morocco,0.0257,1700,0,1993
Morocco,0.0519,1850,0,1994
Morocco,0.109,1730,0.00371,1995
Morocco,0.157,1910,0.00568,1996
Morocco,0.268,1860,0.0216,1997
Morocco,0.415,1970,0.142,1998
Morocco,1.3,1960,0.176,1999
Morocco,8.13,1980,0.694,2000
Morocco,16.4,2100,1.37,2001
Morocco,21,2130,2.37,2002
Morocco,24.7,2240,3.35,2003
Morocco,31,2320,11.6,2004
Morocco,40.7,2360,15.1,2005
Morocco,52,2510,19.8,2006
Morocco,64.3,2570,21.5,2007
Morocco,72.3,2690,33.1,2008
Morocco,79.3,2770,41.3,2009
Morocco,98.9,2840,52,2010
Morocco,112,2950,46.1,2011
Morocco,117,3000,55.4,2012
Morocco,126,3090,56,2013
Morocco,129,3130,56.8,2014
Morocco,124,3220,57.1,2015
Morocco,118,3210,58.3,2016
Morocco,123,3310,61.8,2017
Morocco,124,3370,64.8,2018
Morocco,128,3410,74.4,2019
Netherlands,0.528,357000,0.334,1990
Netherlands,0.763,363000,0.531,1991
Netherlands,1.09,366000,1.32,1992
